Configuration
batch_size = 128
cuda = True
data = './data/wikitext-2'
dry_run = False
emsize = 100
epochs = 10
eval_batch_size = 128
log_interval = 200
lr = 0.001
nhid = 100
onnx_export = ''
save = 'model.pt'
seed = 1111
seq_size = 6
skip_train = False
tied = False

| epoch   1 | 11000/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  3.40 | ppl    29.91
| epoch   1 | 11200/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  3.40 | ppl    29.91
| epoch   1 | 11400/16311 batches | lr 1.00e-03 | ms/batch  5.56 | loss  3.35 | ppl    28.58
| epoch   1 | 11600/16311 batches | lr 1.00e-03 | ms/batch  5.56 | loss  3.35 | ppl    28.51
| epoch   1 | 11800/16311 batches | lr 1.00e-03 | ms/batch  5.58 | loss  3.35 | ppl    28.40
| epoch   1 | 12000/16311 batches | lr 1.00e-03 | ms/batch  5.55 | loss  3.33 | ppl    28.05
| epoch   1 | 12200/16311 batches | lr 1.00e-03 | ms/batch  5.55 | loss  3.33 | ppl    28.07
| epoch   1 | 12400/16311 batches | lr 1.00e-03 | ms/batch  5.55 | loss  3.34 | ppl    28.09
| epoch   1 | 12600/16311 batches | lr 1.00e-03 | ms/batch  5.55 | loss  3.32 | ppl    27.61
| epoch   1 | 12800/16311 batches | lr 1.00e-03 | ms/batch  5.55 | loss  3.35 | ppl    28.49
| epoch   1 | 13000/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  3.33 | ppl    27.87
| epoch   1 | 13200/16311 batches | lr 1.00e-03 | ms/batch  5.58 | loss  3.31 | ppl    27.41
| epoch   1 | 13400/16311 batches | lr 1.00e-03 | ms/batch  5.58 | loss  3.31 | ppl    27.52
| epoch   1 | 13600/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  3.31 | ppl    27.39
| epoch   1 | 13800/16311 batches | lr 1.00e-03 | ms/batch  5.58 | loss  3.28 | ppl    26.66
| epoch   1 | 14000/16311 batches | lr 1.00e-03 | ms/batch  5.56 | loss  3.32 | ppl    27.66
| epoch   1 | 14200/16311 batches | lr 1.00e-03 | ms/batch  5.58 | loss  3.32 | ppl    27.65
| epoch   1 | 14400/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  3.31 | ppl    27.45
| epoch   1 | 14600/16311 batches | lr 1.00e-03 | ms/batch  5.56 | loss  3.33 | ppl    27.86
| epoch   1 | 14800/16311 batches | lr 1.00e-03 | ms/batch  5.56 | loss  3.31 | ppl    27.41
| epoch   1 | 15000/16311 batches | lr 1.00e-03 | ms/batch  5.55 | loss  3.31 | ppl    27.30
| epoch   1 | 15200/16311 batches | lr 1.00e-03 | ms/batch  5.60 | loss  3.32 | ppl    27.53
| epoch   1 | 15400/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  3.30 | ppl    26.98
| epoch   1 | 15600/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  3.32 | ppl    27.77
| epoch   1 | 15800/16311 batches | lr 1.00e-03 | ms/batch  5.56 | loss  3.26 | ppl    26.16
